llm_model_name,dataset_name,tensor_parallelism_degree,max_requests_per_batch,max_tokens_per_batch,arrival_rate,num_warmup_requests,step_idx,is_warmup_step,timestamp,num_inference_requests,num_prefilling_tokens,num_decoding_tokens,num_finetuning_fwd_tokens,num_finetuning_bwd_tokens,num_bwd_layers
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,88,0,26725254,0,0,0,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,89,0,26728443,0,0,0,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,90,0,26730983,0,0,0,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,91,0,26734207,0,0,0,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,92,0,26794747,2,128,0,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,93,0,26848709,2,127,1,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,94,0,26906628,4,127,1,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,95,0,26960715,4,125,3,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,96,0,27017944,4,125,3,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,97,0,27080380,4,125,3,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,98,0,27148370,4,125,3,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,99,0,27216377,6,125,3,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,100,0,27271936,8,108,5,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,101,0,27309526,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,102,0,27347169,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,103,0,27391973,8,11,7,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,104,0,27429583,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,105,0,27467437,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,106,0,27504911,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,107,0,27542725,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,108,0,27580305,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,109,0,27617994,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,110,0,27655693,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,111,0,27693307,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,112,0,27730927,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,113,0,27768647,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,114,0,27805964,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,115,0,27843759,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,116,0,27881339,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,117,0,27919131,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,118,0,27956656,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,119,0,27994395,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,120,0,28032238,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,121,0,28069929,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,122,0,28107772,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,123,0,28145651,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,124,0,28183450,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,125,0,28221060,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,126,0,28258612,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,127,0,28296394,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,128,0,28334161,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,129,0,28372172,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,130,0,28409657,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,131,0,28447472,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,132,0,28485202,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,133,0,28544464,8,121,7,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,134,0,28600567,8,121,7,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,135,0,28660089,8,121,7,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,136,0,28723520,8,118,7,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,137,0,28762080,8,0,8,0,0,0
01-ai/yi-1.5-34b,wildchat,2,8,128,0,10,138,0,28800681,8,0,8,0,0,0
